ANO;KIL‡METROS;TIPO_RED
1992;10.758,86;Red Vial Pavimentada
1993;11.000,96;Red Vial Pavimentada
1994;12.350,90;Red Vial Pavimentada
1995;12.379,26;Red Vial Pavimentada
1996;13.049,23;Red Vial Pavimentada
1997;13.415,24;Red Vial Pavimentada
1998;14.389,56;Red Vial Pavimentada
1999;14.972,23;Red Vial Pavimentada
2000;15.463,97;Red Vial Pavimentada
2001;16.056,34;Red Vial Pavimentada
2002;16.463,05;Red Vial Pavimentada
2003;16.551,06;Red Vial Pavimentada
2004;16.785,85;Red Vial Pavimentada
2005;16.967,49;Red Vial Pavimentada
2006;17.205,02;Red Vial Pavimentada
2007;17.256,57;Red Vial Pavimentada
2008;17.557,71;Red Vial Pavimentada
2009;17.609,01;Red Vial Pavimentada
2010;18.147,42;Red Vial Pavimentada
2011;18.436,74;Red Vial Pavimentada
2012;18.642,20;Red Vial Pavimentada
2013;19.064,88;Red Vial Pavimentada
2014;19.555,65;Red Vial Pavimentada
2015;19.850,32;Red Vial Pavimentada
1992;68.834,51;Red Vial No Pavimentada
1993;68.592,41;Red Vial No Pavimentada
1994;66.941,68;Red Vial No Pavimentada
1995;66.653,48;Red Vial No Pavimentada
1996;66.019,01;Red Vial No Pavimentada
1997;65.662,56;Red Vial No Pavimentada
1998;64.809,91;Red Vial No Pavimentada
1999;64.381,15;Red Vial No Pavimentada
2000;64.056,04;Red Vial No Pavimentada
2001;63.548,39;Red Vial No Pavimentada
2002;63.658,84;Red Vial No Pavimentada
2003;63.953,93;Red Vial No Pavimentada
2004;63.886,48;Red Vial No Pavimentada
2005;63.683,62;Red Vial No Pavimentada
2006;63.489,64;Red Vial No Pavimentada
2007;63.271,77;Red Vial No Pavimentada
2008;62.885,53;Red Vial No Pavimentada
2009;60.815,87;Red Vial No Pavimentada
2010;59.616,32;Red Vial No Pavimentada
2011;59.166,43;Red Vial No Pavimentada
2012;58.929,08;Red Vial No Pavimentada
2013;58.386,39;Red Vial No Pavimentada
2014;58.245,36;Red Vial No Pavimentada
2015;48.474,74;Red Vial No Pavimentada
