CATEGOR™A_BIENES;TIPO_BIENES;ANO;MILLONES_D…LARES_CIF
Bienes de consumo;Durables;2003;1.743
Bienes de consumo;Semidurables;2003;1.378
Bienes de consumo;Otros Bienes de Consumo;2003;1.598
Bienes Intermedios;Productos Energ?ticos;2003;3.273
Bienes Intermedios;Resto Intermedios;2003;7.767
Bienes de Capital;Veh­culos, Maquinarias y Otros;2003;3.486
Bienes de consumo;Durables;2004;2.347
Bienes de consumo;Semidurables;2004;1.717
Bienes de consumo;Otros Bienes de Consumo;2004;1.935
Bienes Intermedios;Productos Energ?ticos;2004;4.589
Bienes Intermedios;Resto Intermedios;2004;9.892
Bienes de Capital;Veh­culos, Maquinarias y Otros;2004;4.234
Bienes de consumo;Durables;2005;2.991
Bienes de consumo;Semidurables;2005;1.969
Bienes de consumo;Otros Bienes de Consumo;2005;2.512
Bienes Intermedios;Productos Energ?ticos;2005;6.383
Bienes Intermedios;Resto Intermedios;2005;12.229
Bienes de Capital;Veh­culos, Maquinarias y Otros;2005;6.842
Bienes de consumo;Durables;2006;3.771
Bienes de consumo;Semidurables;2006;2.462
Bienes de consumo;Otros Bienes de Consumo;2006;2.917
Bienes Intermedios;Productos Energ?ticos;2006;8.266
Bienes Intermedios;Resto Intermedios;2006;14.150
Bienes de Capital;Veh­culos, Maquinarias y Otros;2006;7.421
Bienes de consumo;Durables;2007;4.410
Bienes de consumo;Semidurables;2007;2.854
Bienes de consumo;Otros Bienes de Consumo;2007;3.799
Bienes Intermedios;Productos Energ?ticos;2007;10.904
Bienes Intermedios;Resto Intermedios;2007;17.107
Bienes de Capital;Veh­culos, Maquinarias y Otros;2007;8.533
Bienes de consumo;Durables;2008;5.169
Bienes de consumo;Semidurables;2008;3.414
Bienes de consumo;Otros Bienes de Consumo;2008;4.716
Bienes Intermedios;Productos Energ?ticos;2008;16.041
Bienes Intermedios;Resto Intermedios;2008;21.999
Bienes de Capital;Veh­culos, Maquinarias y Otros;2008;11.454
Bienes de consumo;Durables;2009;3.462
Bienes de consumo;Semidurables;2009;2.809
Bienes de consumo;Otros Bienes de Consumo;2009;3.718
Bienes Intermedios;Productos Energ?ticos;2009;8.926
Bienes Intermedios;Resto Intermedios;2009;15.576
Bienes de Capital;Veh­culos, Maquinarias y Otros;2009;8.352
Bienes de consumo;Durables;2010;6.349
Bienes de consumo;Semidurables;2010;3.984
Bienes de consumo;Otros Bienes de Consumo;2010;5.160
Bienes Intermedios;Productos Energ?ticos;2010;11.320
Bienes Intermedios;Resto Intermedios;2010;20.879
Bienes de Capital;Veh­culos, Maquinarias y Otros;2010;11.315
Bienes de consumo;Durables;2011;7.358
Bienes de consumo;Semidurables;2011;5.004
Bienes de consumo;Otros Bienes de Consumo;2011;6.258
Bienes Intermedios;Productos Energ?ticos;2011;16.095
Bienes Intermedios;Resto Intermedios;2011;25.782
Bienes de Capital;Veh­culos, Maquinarias y Otros;2011;14.352
Bienes de consumo;Durables;2012;7.878
Bienes de consumo;Semidurables;2012;5.440
Bienes de consumo;Otros Bienes de Consumo;2012;6.388
Bienes Intermedios;Productos Energ?ticos;2012;16.092
Bienes Intermedios;Resto Intermedios;2012;27.126
Bienes de Capital;Veh­culos, Maquinarias y Otros;2012;17.168
Bienes de consumo;Durables;2013;8.768
Bienes de consumo;Semidurables;2013;5.955
Bienes de consumo;Otros Bienes de Consumo;2013;6.696
Bienes Intermedios;Productos Energ?ticos;2013;15.223
Bienes Intermedios;Resto Intermedios;2013;26.830
Bienes de Capital;Veh­culos, Maquinarias y Otros;2013;15.881
Bienes de consumo;Durables;2014;7.355
Bienes de consumo;Semidurables;2014;5.977
Bienes de consumo;Otros Bienes de Consumo;2014;6.381
Bienes Intermedios;Productos Energ?ticos;2014;13.752
Bienes Intermedios;Resto Intermedios;2014;25.869
Bienes de Capital;Veh­culos, Maquinarias y Otros;2014;13.518
Bienes de consumo;Durables;2015;6.877
Bienes de consumo;Semidurables;2015;5.497
Bienes de consumo;Otros Bienes de Consumo;2015;5.628
Bienes Intermedios;Productos Energ?ticos;2015;8.042
Bienes Intermedios;Resto Intermedios;2015;24.157
Bienes de Capital;Veh­culos, Maquinarias y Otros;2015;12.296
Bienes de consumo;Durables;2016;6.989
Bienes de consumo;Semidurables;2016;5.408
Bienes de consumo;Otros Bienes de Consumo;2016;5.383
Bienes Intermedios;Productos Energ?ticos;2016;6.905
Bienes Intermedios;Resto Intermedios;2016;21.921
Bienes de Capital;Veh­culos, Maquinarias y Otros;2016;12.224
