;;;;;;;;;;;;;;;;
Producto interno bruto por clase de actividad econ¢mica y por regi¢n, anuales, volumen a precios del a¤o anterior encadenado;;;;;;;;;;;;;;;;
(Millones de pesos encadenados) (1)(2);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;Comercio,;Transporte, ;Servicios;Servicios;;;;;
;;Agrope-;;;Industria;Electricidad, gas,;;restau-;informaci¢n;financieros;de vivienda;Servicios;Adminis-;;;
;;cuario;;;manufac-;agua y gesti¢n ;Construc-;rantes y;y comunicaciones;y empre-;e inmobi-;perso-;traci¢n;;;
A¤o;regi¢n;silv¡cola;Pesca;Miner¡a;turera; de desechos;ci¢n;hoteles;;sariales (3);liarios;nales (4);p£blica (5);PIB (6);;
;;;;;;;;;;;;;;;;
2013;XV;49;20;27;86;14;71;77;139;81;82;163;159;969;;
;I;2;44;1.128;219;47;265;370;219;335;148;266;171;3.214;;
;II;3;18;7.380;794;401;1.558;473;631;1.522;268;597;197;13.843;;
;III;67;19;1.375;67;169;762;155;155;518;128;197;124;3.736;;
;IV;232;14;1.282;98;49;328;318;257;436;292;473;211;3.990;;
;V;379;11;1.176;2.040;578;772;798;1.441;1.083;1.091;1.370;639;11.379;;
;RMS;449;0;1.148;6.812;913;2.784;10.513;5.578;14.816;5.209;7.248;2.437;57.907;;
;VI;752;1;1.385;707;152;508;451;293;560;375;705;221;6.109;;
;VII;555;2;54;581;297;392;339;315;333;401;672;291;4.232;;
;VIII;629;69;3;2.125;678;722;697;839;892;919;1.524;638;9.735;;
;IX;416;0;0;354;50;306;289;265;296;341;682;316;3.315;;
;XIV;202;13;0;386;54;107;131;139;142;131;284;142;1.732;;
;X;259;231;0;774;100;245;303;364;365;280;608;298;3.827;;
;XI;13;173;34;42;5;48;43;60;70;40;88;111;728;;
;XII;23;15;150;241;37;126;110;115;176;101;143;160;1.398;;
;Total;4.031;631;15.144;15.326;3.544;8.995;15.068;10.809;21.625;9.805;15.022;6.188;137.876;;
;;;;;;;;;;;;;;;;
2014;XV;49;28;27;77;14;65;82;147;84;84;170;160;986;;
;I;2;44;1.227;232;48;208;357;230;350;154;273;174;3.299;;
;II;3;20;7.617;814;486;1.729;491;658;1.565;279;613;202;14.478;;
;III;59;11;1.370;56;176;544;148;155;495;131;202;126;3.472;;
;IV;241;12;1.244;90;73;322;313;268;438;302;491;217;4.010;;
;V;403;12;1.137;2.026;530;770;829;1.441;1.096;1.128;1.417;658;11.446;;
;RMS;449;0;1.195;6.616;871;2.805;10.841;5.723;14.987;5.481;7.504;2.509;58.980;;
;VI;759;1;1.438;702;175;465;446;299;582;383;728;227;6.206;;
;VII;529;1;57;554;345;358;337;337;343;412;675;299;4.248;;
;VIII;549;123;4;2.277;707;703;718;875;918;946;1.578;660;10.058;;
;IX;350;0;0;351;50;291;306;281;299;350;710;325;3.314;;
;XIV;198;23;0;380;59;134;138;144;146;135;296;145;1.796;;
;X;249;281;0;820;104;269;320;374;384;287;640;308;4.034;;
;XI;14;210;27;30;6;51;47;63;72;41;93;112;765;;
;XII;25;21;148;254;37;113;115;119;180;104;152;161;1.431;;
;Total;3.878;788;15.491;15.280;3.680;8.828;15.488;11.112;21.937;10.217;15.542;6.356;140.509;;
;;;;;;;;;;;;;;;;
2015;XV;58;13;34;59;14;91;85;155;92;85;170;165;1.022;;
;I;2;28;1.167;215;50;252;361;233;358;157;277;179;3.280;;
;II;3;11;7.630;770;637;1.687;514;673;1.568;288;626;208;14.591;;
;III;67;12;1.535;65;185;357;140;157;525;132;202;132;3.491;;
;IV;264;9;1.151;86;85;340;325;282;440;310;497;226;4.019;;
;V;441;11;1.099;1.971;571;831;870;1.483;1.120;1.149;1.443;687;11.668;;
;RMS;498;0;1.185;6.756;886;2.988;10.986;5.985;15.308;5.620;7.652;2.585;60.453;;
;VI;827;1;1.471;756;178;562;459;318;608;389;739;236;6.548;;
;VII;609;1;89;618;324;420;357;347;378;419;683;318;4.568;;
;VIII;610;99;3;2.171;665;735;750;936;956;962;1.604;680;10.155;;
;IX;387;0;0;374;56;308;339;306;329;357;723;340;3.518;;
;XIV;213;17;0;381;54;125;154;150;152;137;299;151;1.834;;
;X;242;270;0;791;90;293;337;403;395;293;661;321;4.079;;
;XI;14;200;15;31;4;53;53;68;72;41;99;118;761;;
;XII;24;27;126;266;38;132;127;131;186;106;155;167;1.487;;
;Total;4.257;722;15.486;15.307;3.808;9.174;15.855;11.625;22.488;10.446;15.829;6.604;143.674;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
(1);El promedio del ¡ndice 2013 se iguala al valor nominal de la serie de dicho a¤o.;;;;;;;;;;;;;;;
(2);Las series encadenadas no son aditivas, por lo que los agregados difieren de la suma de sus componentes.;;;;;;;;;;;;;;;
(3);Incluye servicios financieros, seguros, arriendo de inmuebles y servicios prestados a empresas.;;;;;;;;;;;;;;;
(4);Incluye educaci¢n, salud y otros servicios.;;;;;;;;;;;;;;;
(5);En el total para cada a¤o se incluyen los servicios en el exterior del sector Administraci¢n P£blica.;;;;;;;;;;;;;;;
(6);En el total para cada a¤o se incluyen el IVA neto recaudado y los derechos de importaci¢n.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
