periodo;ano;Total;Embarcada al Exterior 1;Desembarcada del Exterior 1;Cabotaje ;Re-estibas y transbordos 
Enero;2014;3.153.308;555.210;2.058.135;452.251;87.712
Febrero;2014;4.392.403;1.101.073;2.737.768;374.084;179.478
Marzo;2014;4.493.503;1.382.932;2.506.051;433.148;171.371
Abril;2014;4.426.042;1.216.208;2.611.648;411.728;186.458
Mayo;2014;4.199.424;1.027.677;2.412.688;514.139;244.920
Junio;2014;4.089.344;1.034.558;2.567.296;409.480;78.011
Julio;2014;4.194.538;928.909;2.621.354;402.964;241.312
Agosto;2014;4.166.043;945.666;2.742.745;369.045;108.587
Septiembre;2014;3.879.417;929.268;2.367.467;420.317;162.364
Octubre;2014;4.184.206;907.462;2.513.318;521.918;241.508
Noviembre;2014;4.183.344;914.810;2.603.908;413.120;251.506
Diciembre;2014;3.624.864;908.767;2.179.116;416.908;120.073
Enero;2015;4.522.806;926.422;2.833.549;391.093;371.742
Febrero;2015;3.828.012;996.590;2.262.289;320.112;249.022
Marzo;2015;4.735.494;1.304.145;2.830.855;428.564;171.930
Abril;2015;4.011.633;1.073.159;2.485.744;320.562;132.168
Mayo;2015;4.094.919;876.732;2.390.284;685.118;142.785
Junio;2015;4.054.094;989.415;2.509.824;404.019;150.836
Julio;2015;3.705.031;865.986;2.501.385;320.719;16.942
Agosto;2015;4.018.901;821.936;2.750.676;401.147;45.143
Septiembre;2015;4.021.328;904.390;2.610.276;327.440;179.221
Octubre;2015;3.990.190;882.142;2.532.344;379.534;196.170
Noviembre;2015;4.182.845;895.432;2.550.620;390.846;345.947
Diciembre;2015;3.904.785;947.648;2.366.226;391.454;199.457
Enero;2016;4.048.321;826.456;2.589.549;484.450;147.867
Febrero;2016;4.034.672;1.022.649;2.401.066;417.828;193.130
Marzo;2016;4.429.252;1.302.948;2.488.519;442.123;195.662
Abril;2016;4.156.084;1.078.788;2.553.094;414.783;109.418
Mayo;2016;4.122.050;1.132.840;2.582.217;379.458;27.536
Junio;2016;3.635.851;896.025;2.392.537;311.758;35.530
Julio;2016;4.440.338;963.607;2.987.037;460.642;29.053
Agosto;2016;4.247.632;913.352;2.853.147;455.700;25.433
Septiembre;2016;3.820.722;739.281;2.549.307;486.094;46.041
Octubre;2016;4.167.646;917.609;2.802.269;342.530;105.237
Noviembre;2016;3.735.496;813.482;2.484.390;405.062;32.561
Diciembre;2016;0;0;0;0;0
